@relation openjpa_training_4

@attribute LinesOfCode numeric
@attribute AddedLOC numeric
@attribute MaxAddedLOC numeric
@attribute AvgAddedLOC numeric
@attribute TouchedLOC numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute NumberOfAuthors numeric
@attribute NumberOfRevisions numeric
@attribute NumberOfDefectsFixed numeric
@attribute Buggy {'True', 'False'}

@data
93.0,93.0,93.0,46.5,93.0,93.0,93.0,46.5,1,2,0,False
149.0,149.0,149.0,74.5,149.0,149.0,149.0,74.5,1,2,0,False
131.0,131.0,131.0,65.5,131.0,131.0,131.0,65.5,1,2,0,False
67.0,67.0,67.0,33.5,67.0,67.0,67.0,33.5,1,2,0,False
99.0,101.0,99.0,33.666668,103.0,99.0,99.0,33.0,2,3,0,False
265.0,269.0,265.0,89.666664,273.0,265.0,265.0,88.333336,2,3,0,False
534.0,535.0,534.0,178.33333,538.0,536.0,534.0,178.66667,1,3,0,False
318.0,318.0,318.0,159.0,318.0,318.0,318.0,159.0,1,2,0,False
365.0,365.0,365.0,182.5,365.0,365.0,365.0,182.5,1,2,0,True
86.0,86.0,86.0,28.666666,90.0,90.0,86.0,30.0,1,3,0,False
74.0,74.0,74.0,37.0,74.0,74.0,74.0,37.0,1,2,0,True
79.0,79.0,79.0,39.5,79.0,79.0,79.0,39.5,1,2,0,False
89.0,91.0,89.0,30.333334,93.0,89.0,89.0,29.666666,2,3,0,False
173.0,182.0,173.0,60.666668,192.0,174.0,173.0,58.0,2,3,0,False
78.0,78.0,78.0,39.0,78.0,78.0,78.0,39.0,1,2,0,False
58.0,60.0,58.0,20.0,62.0,58.0,58.0,19.333334,2,3,0,False
67.0,67.0,67.0,33.5,67.0,67.0,67.0,33.5,1,2,0,True
48.0,48.0,48.0,24.0,48.0,48.0,48.0,24.0,1,2,0,False
59.0,59.0,59.0,29.5,59.0,59.0,59.0,29.5,1,2,0,False
80.0,80.0,80.0,40.0,80.0,80.0,80.0,40.0,1,2,0,False
63.0,63.0,63.0,31.5,63.0,63.0,63.0,31.5,1,2,0,False
123.0,124.0,123.0,41.333332,125.0,123.0,123.0,41.0,1,3,0,False
48.0,48.0,48.0,24.0,48.0,48.0,48.0,24.0,1,2,0,False
262.0,262.0,262.0,131.0,262.0,262.0,262.0,131.0,1,2,0,False
130.0,137.0,130.0,45.666668,138.0,136.0,130.0,45.333332,2,3,0,False
1571.0,1582.0,1571.0,527.3333,1595.0,1573.0,1571.0,524.3333,2,3,0,False
169.0,173.0,169.0,57.666668,177.0,169.0,169.0,56.333332,2,3,0,False
92.0,92.0,92.0,46.0,92.0,92.0,92.0,46.0,1,2,0,False
65.0,65.0,65.0,32.5,65.0,65.0,65.0,32.5,1,2,0,False
133.0,133.0,133.0,66.5,133.0,133.0,133.0,66.5,1,2,0,False
399.0,410.0,399.0,136.66667,423.0,401.0,399.0,133.66667,2,3,0,False
254.0,263.0,254.0,87.666664,273.0,255.0,254.0,85.0,2,3,0,False
257.0,260.0,257.0,86.666664,264.0,258.0,257.0,86.0,2,3,0,False
83.0,83.0,83.0,41.5,83.0,83.0,83.0,41.5,1,2,0,False
95.0,95.0,95.0,47.5,95.0,95.0,95.0,47.5,1,2,0,False
145.0,149.0,145.0,49.666668,152.0,146.0,145.0,48.666668,2,3,0,False
96.0,99.0,96.0,33.0,102.0,96.0,96.0,32.0,2,3,0,False
149.0,156.0,149.0,52.0,163.0,149.0,149.0,49.666668,2,3,0,False
230.0,237.0,230.0,79.0,247.0,233.0,230.0,77.666664,2,3,0,False
421.0,435.0,421.0,145.0,457.0,429.0,421.0,143.0,2,3,0,False
174.0,182.0,174.0,60.666668,191.0,175.0,174.0,58.333332,2,3,0,False
104.0,104.0,104.0,52.0,104.0,104.0,104.0,52.0,1,2,0,False
93.0,93.0,93.0,46.5,93.0,93.0,93.0,46.5,1,2,0,False
110.0,110.0,110.0,55.0,110.0,110.0,110.0,55.0,1,2,0,False
80.0,80.0,80.0,40.0,80.0,80.0,80.0,40.0,1,2,0,False
258.0,262.0,258.0,87.333336,268.0,260.0,258.0,86.666664,2,3,0,False
86.0,86.0,86.0,43.0,86.0,86.0,86.0,43.0,1,2,0,False
55.0,55.0,55.0,27.5,55.0,55.0,55.0,27.5,1,2,0,False
51.0,51.0,51.0,25.5,51.0,51.0,51.0,25.5,1,2,0,False
52.0,52.0,52.0,26.0,52.0,52.0,52.0,26.0,1,2,0,False
60.0,60.0,60.0,30.0,60.0,60.0,60.0,30.0,1,2,0,True
46.0,46.0,46.0,23.0,46.0,46.0,46.0,23.0,1,2,0,False
81.0,81.0,81.0,40.5,81.0,81.0,81.0,40.5,1,2,0,False
399.0,403.0,399.0,134.33333,408.0,400.0,399.0,133.33333,2,3,0,False
84.0,84.0,84.0,42.0,84.0,84.0,84.0,42.0,1,2,0,False
94.0,99.0,94.0,33.0,104.0,94.0,94.0,31.333334,2,3,0,False
93.0,98.0,93.0,32.666668,103.0,93.0,93.0,31.0,2,3,0,False
730.0,773.0,730.0,128.83333,817.0,741.0,730.0,123.5,2,6,0,False
167.0,178.0,167.0,59.333332,192.0,170.0,167.0,56.666668,2,3,0,False
167.0,178.0,167.0,59.333332,192.0,170.0,167.0,56.666668,2,3,0,False
207.0,207.0,207.0,103.5,207.0,207.0,207.0,103.5,1,2,0,False
311.0,324.0,311.0,81.0,335.0,313.0,311.0,78.25,2,4,0,False
267.0,279.0,267.0,55.8,300.0,280.0,267.0,56.0,2,5,0,False
321.0,321.0,321.0,160.5,321.0,321.0,321.0,160.5,1,2,0,False
518.0,544.0,518.0,181.33333,579.0,527.0,518.0,175.66667,2,3,0,False
256.0,260.0,256.0,86.666664,265.0,257.0,256.0,85.666664,2,3,0,False
162.0,166.0,162.0,55.333332,169.0,163.0,162.0,54.333332,2,3,0,False
61.0,64.0,61.0,21.333334,68.0,62.0,61.0,20.666666,2,3,0,False
48.0,48.0,48.0,24.0,48.0,48.0,48.0,24.0,1,2,0,True
43.0,43.0,43.0,21.5,43.0,43.0,43.0,21.5,1,2,0,True
119.0,122.0,119.0,40.666668,125.0,119.0,119.0,39.666668,2,3,0,False
129.0,130.0,129.0,43.333332,131.0,129.0,129.0,43.0,1,3,0,False
151.0,151.0,151.0,75.5,151.0,151.0,151.0,75.5,1,2,0,False
707.0,707.0,707.0,353.5,707.0,707.0,707.0,353.5,1,2,0,False
287.0,287.0,287.0,143.5,287.0,287.0,287.0,143.5,1,2,0,False
185.0,185.0,185.0,92.5,185.0,185.0,185.0,92.5,1,2,0,False
278.0,278.0,278.0,92.666664,281.0,281.0,278.0,93.666664,1,3,0,False
63.0,63.0,63.0,31.5,63.0,63.0,63.0,31.5,1,2,0,False
143.0,143.0,143.0,71.5,143.0,143.0,143.0,71.5,1,2,0,False
100.0,100.0,100.0,50.0,100.0,100.0,100.0,50.0,1,2,0,False
684.0,687.0,684.0,229.0,689.0,685.0,684.0,228.33333,1,3,0,False
82.0,82.0,82.0,41.0,82.0,82.0,82.0,41.0,1,2,0,False
190.0,190.0,190.0,95.0,190.0,190.0,190.0,95.0,1,2,0,False
184.0,184.0,184.0,92.0,184.0,184.0,184.0,92.0,1,2,0,False
74.0,76.0,74.0,25.333334,77.0,75.0,74.0,25.0,1,3,0,False
82.0,82.0,82.0,41.0,82.0,82.0,82.0,41.0,1,2,0,False
39.0,39.0,39.0,19.5,39.0,39.0,39.0,19.5,1,2,0,False
259.0,259.0,259.0,129.5,259.0,259.0,259.0,129.5,1,2,0,False
39.0,39.0,39.0,19.5,39.0,39.0,39.0,19.5,1,2,0,False
944.0,947.0,944.0,315.66666,949.0,945.0,944.0,315.0,1,3,0,False
400.0,400.0,400.0,133.33333,401.0,401.0,400.0,133.66667,1,3,0,False
62.0,62.0,62.0,31.0,62.0,62.0,62.0,31.0,1,2,0,False
78.0,78.0,78.0,39.0,78.0,78.0,78.0,39.0,1,2,0,False
1523.0,1523.0,1523.0,761.5,1523.0,1523.0,1523.0,761.5,1,2,0,False
232.0,232.0,232.0,116.0,232.0,232.0,232.0,116.0,1,2,0,False
206.0,206.0,206.0,68.666664,209.0,209.0,206.0,69.666664,1,3,0,False
186.0,197.0,186.0,65.666664,201.0,193.0,186.0,64.333336,2,3,0,False
689.0,689.0,689.0,229.66667,692.0,692.0,689.0,230.66667,1,3,0,False
493.0,493.0,493.0,246.5,493.0,493.0,493.0,246.5,1,2,0,False
53.0,53.0,53.0,26.5,53.0,53.0,53.0,26.5,1,2,0,False
602.0,605.0,602.0,201.66667,607.0,603.0,602.0,201.0,1,3,0,False
442.0,442.0,442.0,147.33333,444.0,444.0,442.0,148.0,1,3,0,False
95.0,95.0,95.0,47.5,95.0,95.0,95.0,47.5,1,2,0,False
846.0,854.0,846.0,213.5,863.0,847.0,846.0,211.75,2,4,0,False
151.0,151.0,151.0,75.5,151.0,151.0,151.0,75.5,1,2,0,False
92.0,92.0,92.0,46.0,92.0,92.0,92.0,46.0,1,2,0,False
42.0,42.0,42.0,21.0,42.0,42.0,42.0,21.0,1,2,0,False
35.0,35.0,35.0,17.5,35.0,35.0,35.0,17.5,1,2,0,False
144.0,144.0,144.0,72.0,144.0,144.0,144.0,72.0,1,2,0,True
3729.0,3769.0,3729.0,538.4286,3801.0,3745.0,3729.0,535.0,2,7,0,True
592.0,592.0,592.0,296.0,592.0,592.0,592.0,296.0,1,2,0,False
93.0,93.0,93.0,46.5,93.0,93.0,93.0,46.5,1,2,0,False
171.0,171.0,171.0,85.5,171.0,171.0,171.0,85.5,1,2,0,False
58.0,58.0,58.0,29.0,58.0,58.0,58.0,29.0,1,2,0,False
159.0,159.0,159.0,79.5,159.0,159.0,159.0,79.5,1,2,0,False
310.0,314.0,310.0,104.666664,317.0,311.0,310.0,103.666664,2,3,0,False
253.0,253.0,253.0,126.5,253.0,253.0,253.0,126.5,1,2,0,False
115.0,115.0,115.0,57.5,115.0,115.0,115.0,57.5,1,2,0,False
112.0,112.0,112.0,56.0,112.0,112.0,112.0,56.0,1,2,0,False
189.0,229.0,189.0,76.333336,230.0,228.0,189.0,76.0,2,3,0,False
403.0,403.0,403.0,201.5,403.0,403.0,403.0,201.5,1,2,0,False
39.0,39.0,39.0,19.5,39.0,39.0,39.0,19.5,1,2,0,False
72.0,77.0,72.0,25.666666,81.0,73.0,72.0,24.333334,2,3,0,False
