Version,ClassName,LinesOfCode,AddedLOC,MaxAddedLOC,AvgAddedLOC,TouchedLOC,Churn,MaxChurn,AvgChurn,NumberOfAuthors,NumberOfRevisions,NumberOfDefectsFixed,Buggy
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,123,131,123,32.75,138,124,123,31.0,2,4,0,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,369,369,369,369.0,369,369,369,369.0,1,1,0,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,231,250,231,50.0,262,238,231,47.6,2,5,0,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,586,646,586,161.5,705,587,586,146.75,2,4,0,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,366,391,366,78.2,415,367,366,73.4,2,5,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,99,109,99,27.25,118,100,99,25.0,2,4,0,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,41,41,41,41.0,41,41,41,41.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,66,80,66,40.0,93,67,66,33.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,54,64,54,21.333334,65,63,54,21.0,3,3,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,47,51,47,25.5,55,47,47,23.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,183,201,183,50.25,221,185,183,46.25,3,4,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,49,49,49,49.0,49,49,49,49.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,50,50,50,50.0,50,50,50,50.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,98,101,98,50.5,103,99,98,49.5,2,2,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,138,138,138,138.0,138,138,138,138.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,43,43,43,43.0,43,43,43,43.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,42,42,42,42.0,42,42,42,42.0,1,1,0,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56,56,56,56.0,56,56,56,56.0,1,1,0,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,162,163,162,81.5,164,162,162,81.0,2,2,0,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,6367,12494,6367,6247.0,18349,6639,6367,3319.5,2,2,0,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,153,155,153,77.5,157,153,153,76.5,2,2,0,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,43,43,43,43.0,43,43,43,43.0,1,1,0,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,41,42,41,21.0,43,41,41,20.5,2,2,0,False
