Version,ClassName,LinesOfCode,AddedLOC,MaxAddedLOC,AvgAddedLOC,TouchedLOC,Churn,MaxChurn,AvgChurn,NumberOfAuthors,NumberOfRevisions,NumberOfDefectsFixed,Buggy
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValueImpl.java,101,106,101,35.333332,111,101,101,33.666668,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetColumn.java,80,80,80,40.0,80,80,80,40.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetMapValue.java,213,213,213,213.0,213,213,213,213.0,1,1,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetObjectId.java,181,204,181,51.0,229,183,181,45.75,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/HasContainsExpressionVisitor.java,30,37,30,18.5,43,31,30,15.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InExpression.java,175,196,175,39.2,218,176,175,35.2,2,5,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InKeyExpression.java,44,44,44,22.0,44,44,44,22.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InSubQExpression.java,79,94,79,23.5,109,79,79,19.75,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InValueExpression.java,44,44,44,22.0,44,44,44,22.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IndexOf.java,164,196,164,39.2,226,168,164,33.6,2,5,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InstanceofExpression.java,152,163,152,27.166666,175,153,152,25.5,2,6,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsEmptyExpression.java,71,83,71,20.75,96,72,71,18.0,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsNotEmptyExpression.java,71,82,71,20.5,94,72,71,18.0,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCAggregateListener.java,42,42,42,21.0,42,42,42,21.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java,449,479,449,68.42857,510,464,449,66.28571,3,7,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCFilterListener.java,44,44,44,22.0,44,44,44,22.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCPath.java,29,29,29,14.5,29,29,29,14.5,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCStringContains.java,53,54,53,18.0,56,54,53,18.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCWildcardMatch.java,58,59,58,19.666666,61,59,58,19.666666,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Lit.java,87,91,87,30.333334,95,87,87,29.0,2,3,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/MatchesExpression.java,133,147,133,36.75,161,133,133,33.25,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Math.java,165,195,165,39.0,222,168,165,33.6,2,5,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Max.java,40,41,40,13.666667,42,40,40,13.333333,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Min.java,40,41,40,13.666667,42,40,40,13.333333,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotContainsExpression.java,85,96,85,24.0,108,86,85,21.5,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotEqualExpression.java,76,84,76,28.0,92,76,76,25.333334,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotExpression.java,72,82,72,20.5,93,73,72,18.25,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Null.java,53,56,53,18.666666,59,53,53,17.666666,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/OrExpression.java,107,120,107,30.0,133,107,107,26.75,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java,680,754,680,107.71429,781,729,680,104.14286,2,7,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Param.java,117,121,117,40.333332,125,117,117,39.0,2,3,0,True
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLEmbed.java,68,69,68,23.0,71,69,68,23.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLExpression.java,38,38,38,19.0,38,38,38,19.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLValue.java,36,36,36,18.0,36,36,36,18.0,1,2,0,False
