@relation bookkeeper_training_1

@attribute LinesOfCode numeric
@attribute AddedLOC numeric
@attribute MaxAddedLOC numeric
@attribute AvgAddedLOC numeric
@attribute TouchedLOC numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute NumberOfAuthors numeric
@attribute NumberOfRevisions numeric
@attribute NumberOfDefectsFixed numeric
@attribute Buggy {'True', 'False'}

@data
154.0,166.0,154.0,55.333332,177.0,155.0,154.0,51.666668,2,3,0,False
72.0,73.0,72.0,36.5,74.0,72.0,72.0,36.0,2,2,0,False
385.0,421.0,385.0,70.166664,436.0,406.0,385.0,67.666664,3,6,0,False
76.0,78.0,76.0,39.0,80.0,76.0,76.0,38.0,2,2,0,False
159.0,164.0,159.0,54.666668,168.0,160.0,159.0,53.333332,2,3,0,False
737.0,887.0,737.0,295.66666,1036.0,738.0,737.0,246.0,2,3,0,False
74.0,76.0,74.0,38.0,78.0,74.0,74.0,37.0,2,2,0,False
94.0,98.0,94.0,32.666668,101.0,95.0,94.0,31.666666,2,3,0,False
22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,1,1,0,False
427.0,440.0,427.0,146.66667,452.0,428.0,427.0,142.66667,2,3,0,False
62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,1,1,0,False
58.0,59.0,58.0,29.5,60.0,58.0,58.0,29.0,2,2,0,False
91.0,96.0,91.0,48.0,101.0,91.0,91.0,45.5,2,2,0,False
27.0,28.0,27.0,14.0,29.0,27.0,27.0,13.5,2,2,0,False
77.0,79.0,77.0,39.5,81.0,77.0,77.0,38.5,2,2,0,False
704.0,743.0,704.0,247.66667,781.0,705.0,704.0,235.0,2,3,0,False
63.0,67.0,63.0,33.5,71.0,63.0,63.0,31.5,2,2,0,False
37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,1,1,0,False
64.0,65.0,64.0,32.5,66.0,64.0,64.0,32.0,2,2,0,False
124.0,127.0,124.0,63.5,130.0,124.0,124.0,62.0,2,2,0,False
160.0,168.0,160.0,42.0,175.0,161.0,160.0,40.25,2,4,0,False
36.0,41.0,36.0,20.5,46.0,36.0,36.0,18.0,2,2,0,False
58.0,61.0,58.0,30.5,63.0,59.0,58.0,29.5,2,2,0,False
62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,1,1,0,False
130.0,143.0,130.0,35.75,155.0,131.0,130.0,32.75,2,4,0,False
74.0,77.0,74.0,38.5,79.0,75.0,74.0,37.5,2,2,0,False
83.0,87.0,83.0,29.0,90.0,84.0,83.0,28.0,2,3,0,False
74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,1,1,0,False
48.0,50.0,48.0,25.0,52.0,48.0,48.0,24.0,2,2,0,False
60.0,61.0,60.0,30.5,62.0,60.0,60.0,30.0,2,2,0,False
70.0,76.0,70.0,25.333334,82.0,70.0,70.0,23.333334,2,3,0,False
183.0,205.0,183.0,51.25,224.0,186.0,183.0,46.5,2,4,0,False
53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,1,1,0,False
452.0,474.0,452.0,118.5,494.0,454.0,452.0,113.5,2,4,0,False
39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,1,1,0,False
78.0,82.0,78.0,41.0,86.0,78.0,78.0,39.0,2,2,0,False
64.0,65.0,64.0,32.5,66.0,64.0,64.0,32.0,2,2,0,False
31.0,32.0,31.0,16.0,33.0,31.0,31.0,15.5,2,2,0,False
57.0,61.0,57.0,30.5,65.0,57.0,57.0,28.5,2,2,0,False
